OrderNumber,Order_Date,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Selling Price,Unit Cost,Sales,Total Cost,Profit
"SO - 0005182",2018-09-19 00:00:00.000,2018-09-28 00:00:00.000,8,"Distributor","NZD","GUT930",85,11,8,1212.7,557.8420000000001,9701.6,4462.7360000000008,5238.864
"SO - 0004307",2018-09-20 00:00:00.000,2018-09-27 00:00:00.000,15,"Distributor","NZD","GUT930",52,9,6,5360,3644.8,32160,21868.800000000003,10291.199999999997
"SO - 0005604",2018-09-21 00:00:00.000,2018-09-24 00:00:00.000,4,"Distributor","NZD","GUT930",17,1,8,3859.2000000000003,2045.3760000000002,30873.600000000002,16363.008000000002,14510.592
"SO - 000441",2018-09-23 00:00:00.000,2018-10-02 00:00:00.000,33,"Distributor","NZD","GUT930",25,6,10,964.80000000000007,492.04800000000006,9648,4920.4800000000005,4727.5199999999995
"SO - 0001431",2018-09-24 00:00:00.000,2018-10-05 00:00:00.000,21,"Distributor","NZD","GUT930",100,5,6,1018.4,488.832,6110.4,2932.992,3177.4079999999994
"SO - 0004911",2018-09-24 00:00:00.000,2018-09-30 00:00:00.000,35,"Distributor","NZD","GUT930",51,1,12,2673.3,1229.718,32079.600000000002,14756.616000000002,17322.984
"SO - 0004115",2018-09-25 00:00:00.000,2018-10-10 00:00:00.000,45,"Distributor","NZD","GUT930",2,2,7,884.4,610.236,6190.8,4271.652,1919.1480000000001
"SO - 0001726",2018-09-26 00:00:00.000,2018-10-03 00:00:00.000,40,"Distributor","NZD","GUT930",78,9,9,1092.1000000000001,808.15400000000011,9828.9000000000015,7273.3860000000013,2555.514
"SO - 0006629",2018-09-26 00:00:00.000,2018-10-07 00:00:00.000,23,"Distributor","NZD","GUT930",68,7,5,3953,1581.2,19765,7906,11859
"SO - 000613",2018-09-29 00:00:00.000,2018-10-04 00:00:00.000,3,"Distributor","NZD","GUT930",14,1,11,1051.9,694.25400000000013,11570.900000000001,7636.7940000000017,3934.1059999999998
"SO - 0007091",2018-09-30 00:00:00.000,2018-10-05 00:00:00.000,2,"Distributor","NZD","GUT930",19,7,9,6438.7,3670.0589999999997,57948.299999999996,33030.530999999995,24917.769
"SO - 000960",2018-10-02 00:00:00.000,2018-10-16 00:00:00.000,13,"Distributor","NZD","GUT930",81,5,11,1179.2,813.648,12971.2,8950.128,4021.072
"SO - 0001340",2018-10-03 00:00:00.000,2018-10-18 00:00:00.000,30,"Distributor","NZD","GUT930",39,7,5,2237.8,1297.924,11189,6489.62,4699.38
"SO - 0001923",2018-10-03 00:00:00.000,2018-10-19 00:00:00.000,25,"Distributor","NZD","GUT930",48,7,12,6344.9000000000015,3806.94,76138.8,45683.28,30455.520000000004
"SO - 000217",2018-10-04 00:00:00.000,2018-10-15 00:00:00.000,3,"Distributor","NZD","GUT930",82,11,10,1809,1302.48,18090,13024.8,5065.2000000000007
"SO - 0001556",2018-10-06 00:00:00.000,2018-10-16 00:00:00.000,43,"Distributor","NZD","GUT930",88,1,5,3919.5,2038.14,19597.5,10190.7,9406.8
"SO - 0003782",2018-10-06 00:00:00.000,2018-10-13 00:00:00.000,15,"Distributor","NZD","GUT930",25,13,8,1005,743.7,8040,5949.6,2090.3999999999996
"SO - 0001346",2018-10-08 00:00:00.000,2018-10-11 00:00:00.000,34,"Distributor","NZD","GUT930",52,1,5,2371.8,1541.67,11859,7708.35,4150.65
"SO - 0005896",2018-10-08 00:00:00.000,2018-10-11 00:00:00.000,44,"Distributor","NZD","GUT930",33,7,8,2452.2000000000003,1642.9740000000004,19617.600000000002,13143.792000000003,6473.8079999999991
"SO - 0004972",2018-10-09 00:00:00.000,2018-10-23 00:00:00.000,24,"Distributor","NZD","GUT930",59,9,9,1025.1000000000001,830.33100000000013,9225.9000000000015,7472.9790000000012,1752.9210000000003
"SO - 0001016",2018-10-11 00:00:00.000,2018-10-24 00:00:00.000,22,"Distributor","NZD","GUT930",77,11,7,1025.1000000000001,758.57400000000007,7175.7000000000007,5310.018,1865.6820000000007
"SO - 0002910",2018-10-12 00:00:00.000,2018-10-25 00:00:00.000,24,"Distributor","NZD","GUT930",86,9,5,1018.4,794.352,5092,3971.7599999999998,1120.2400000000002
"SO - 0005876",2018-10-12 00:00:00.000,2018-10-25 00:00:00.000,47,"Distributor","NZD","GUT930",66,1,11,3953,2767.1,43483,30438.1,13044.900000000001
"SO - 0005116",2018-10-13 00:00:00.000,2018-10-31 00:00:00.000,36,"Distributor","NZD","GUT930",55,7,11,2639.8,1689.4720000000002,29037.800000000003,18584.192000000003,10453.608
"SO - 0006883",2018-10-14 00:00:00.000,2018-10-20 00:00:00.000,42,"Distributor","NZD","GUT930",17,14,12,1246.2,834.95400000000006,14954.400000000001,10019.448,4934.9520000000011
"SO - 0006887",2018-10-16 00:00:00.000,2018-10-30 00:00:00.000,47,"Distributor","NZD","GUT930",93,7,9,1072,493.12,9648,4438.08,5209.92
"SO - 0006959",2018-10-16 00:00:00.000,2018-10-24 00:00:00.000,21,"Distributor","NZD","GUT930",11,1,8,1072,621.76,8576,4974.08,3601.92
"SO - 0004959",2018-10-17 00:00:00.000,2018-11-02 00:00:00.000,12,"Distributor","NZD","GUT930",70,1,5,1011.7,566.55200000000013,5058.5,2832.7600000000007,2225.7399999999993
"SO - 000987",2018-10-18 00:00:00.000,2018-10-29 00:00:00.000,42,"Distributor","NZD","GUT930",6,11,9,964.80000000000007,627.12000000000012,8683.2,5644.0800000000008,3039.12
"SO - 0004991",2018-10-18 00:00:00.000,2018-10-29 00:00:00.000,23,"Distributor","NZD","GUT930",33,9,10,3731.9,2948.201,37319,29482.010000000002,7836.989999999998
"SO - 0006442",2018-10-18 00:00:00.000,2018-10-27 00:00:00.000,41,"Distributor","NZD","GUT930",63,1,6,1078.7,862.96,6472.2000000000007,5177.76,1294.4400000000005
"SO - 0006513",2018-10-18 00:00:00.000,2018-11-01 00:00:00.000,14,"Distributor","NZD","GUT930",46,11,10,1072,718.24,10720,7182.4,3537.6000000000004
"SO - 0002290",2018-10-19 00:00:00.000,2018-10-25 00:00:00.000,7,"Distributor","NZD","GUT930",26,7,6,6298,3337.94,37788,20027.64,17760.36
"SO - 0005114",2018-10-19 00:00:00.000,2018-10-26 00:00:00.000,28,"Distributor","NZD","GUT930",10,1,11,1701.8,1429.512,18719.8,15724.632,2995.1679999999997
"SO - 0001523",2018-10-21 00:00:00.000,2018-10-30 00:00:00.000,13,"Distributor","NZD","GUT930",19,2,5,6137.2,4234.668,30686,21173.339999999997,9512.6600000000035
"SO - 0004607",2018-10-21 00:00:00.000,2018-10-26 00:00:00.000,33,"Distributor","NZD","GUT930",61,5,7,2331.6,1492.224,16321.199999999999,10445.568,5875.632
"SO - 000883",2018-10-22 00:00:00.000,2018-11-09 00:00:00.000,3,"Distributor","NZD","GUT930",60,2,6,797.30000000000007,454.461,4783.8,2726.766,2057.034
"SO - 0001527",2018-10-22 00:00:00.000,2018-11-07 00:00:00.000,22,"Distributor","NZD","GUT930",94,7,7,6291.3,4844.301,44039.1,33910.107,10128.992999999995
"SO - 0002177",2018-10-27 00:00:00.000,2018-11-06 00:00:00.000,42,"Distributor","NZD","GUT930",41,1,5,931.30000000000007,707.788,4656.5,3538.94,1117.56
"SO - 0003445",2018-10-29 00:00:00.000,2018-11-15 00:00:00.000,31,"Distributor","NZD","GUT930",35,9,9,1085.4,586.1160000000001,9768.6,5275.0440000000008,4493.556
"SO - 0006422",2018-10-29 00:00:00.000,2018-11-12 00:00:00.000,18,"Distributor","NZD","GUT930",90,5,10,2646.5,1879.0149999999999,26465,18790.149999999998,7674.8500000000022
"SO - 0007875",2018-10-30 00:00:00.000,2018-11-08 00:00:00.000,43,"Distributor","NZD","GUT930",30,7,11,1956.4,939.072,21520.4,10329.792,11190.608000000002
"SO - 0001202",2018-11-03 00:00:00.000,2018-11-17 00:00:00.000,48,"Distributor","NZD","GUT930",25,7,9,1896.1000000000001,1573.7630000000001,17064.9,14163.867000000002,2901.0329999999994
"SO - 0001248",2018-11-03 00:00:00.000,2018-11-12 00:00:00.000,38,"Distributor","NZD","GUT930",34,13,10,1929.6000000000001,1254.2400000000002,19296,12542.400000000001,6753.5999999999985
"SO - 0002042",2018-11-03 00:00:00.000,2018-11-21 00:00:00.000,12,"Distributor","NZD","GUT930",52,2,8,2519.2000000000003,1259.6000000000001,20153.600000000002,10076.800000000001,10076.800000000001
"SO - 0005942",2018-11-03 00:00:00.000,2018-11-07 00:00:00.000,24,"Distributor","NZD","GUT930",31,11,12,5822.3,4599.617,69867.6,55195.404,14672.196000000004
"SO - 0006723",2018-11-03 00:00:00.000,2018-11-07 00:00:00.000,13,"Distributor","NZD","GUT930",33,13,8,1065.3,426.12,8522.4,3408.96,5113.44
"SO - 0004765",2018-11-04 00:00:00.000,2018-11-07 00:00:00.000,34,"Distributor","NZD","GUT930",74,13,9,2626.4,1575.84,23637.600000000002,14182.56,9455.0400000000027
"SO - 0005399",2018-11-04 00:00:00.000,2018-11-07 00:00:00.000,14,"Distributor","NZD","GUT930",77,13,7,2680,2278,18760,15946,2814
"SO - 0001041",2018-11-05 00:00:00.000,2018-11-19 00:00:00.000,46,"Distributor","NZD","GUT930",40,9,12,2224.4,1401.372,26692.800000000003,16816.464,9876.336000000003
"SO - 000817",2018-11-06 00:00:00.000,2018-11-15 00:00:00.000,20,"Distributor","NZD","GUT930",23,1,9,5782.1,4625.68,52038.9,41631.12,10407.779999999999
"SO - 0007501",2018-11-06 00:00:00.000,2018-11-17 00:00:00.000,32,"Distributor","NZD","GUT930",1,1,8,3959.7000000000003,2098.641,31677.600000000002,16789.128,14888.472000000002
"SO - 0004187",2018-11-08 00:00:00.000,2018-11-12 00:00:00.000,12,"Distributor","NZD","GUT930",93,7,11,1078.7,668.794,11865.7,7356.7339999999995,4508.9660000000013
"SO - 0001844",2018-11-09 00:00:00.000,2018-11-16 00:00:00.000,5,"Distributor","NZD","GUT930",59,4,7,871,661.96,6097,4633.72,1463.2799999999997
"SO - 0005558",2018-11-09 00:00:00.000,2018-11-26 00:00:00.000,50,"Distributor","NZD","GUT930",22,9,10,1721.9,774.855,17219,7748.55,9470.45
"SO - 0006893",2018-11-09 00:00:00.000,2018-11-25 00:00:00.000,27,"Distributor","NZD","GUT930",19,1,8,3852.5,2311.5,30820,18492,12328
"SO - 0002926",2018-11-10 00:00:00.000,2018-11-15 00:00:00.000,13,"Distributor","NZD","GUT930",14,13,12,1708.5,1247.205,20502,14966.46,5535.5400000000009
"SO - 0001064",2018-11-11 00:00:00.000,2018-11-27 00:00:00.000,41,"Distributor","NZD","GUT930",45,1,5,5293,2858.2200000000003,26465,14291.100000000002,12173.899999999998
"SO - 0002174",2018-11-12 00:00:00.000,2018-11-20 00:00:00.000,46,"Distributor","NZD","GUT930",10,13,7,2579.5,2140.9849999999997,18056.5,14986.894999999997,3069.6050000000032
"SO - 0005292",2018-11-13 00:00:00.000,2018-11-27 00:00:00.000,5,"Distributor","NZD","GUT930",58,12,6,1092.1000000000001,753.54900000000009,6552.6,4521.2940000000008,2031.3059999999996
"SO - 000355",2018-11-14 00:00:00.000,2018-11-21 00:00:00.000,41,"Distributor","NZD","GUT930",58,5,11,1092.1000000000001,622.49700000000007,12013.100000000002,6847.4670000000006,5165.6330000000016
"SO - 0006279",2018-11-14 00:00:00.000,2018-11-21 00:00:00.000,43,"Distributor","NZD","GUT930",11,7,7,3845.8,1538.3200000000002,26920.600000000002,10768.240000000002,16152.36
"SO - 0002884",2018-11-15 00:00:00.000,2018-11-20 00:00:00.000,33,"Distributor","NZD","GUT930",8,3,6,1092.1000000000001,611.57600000000014,6552.6,3669.456000000001,2883.1439999999993
"SO - 0007948",2018-11-18 00:00:00.000,2018-11-26 00:00:00.000,20,"Distributor","NZD","GUT930",13,7,5,978.2,606.484,4891,3032.42,1858.58
"SO - 0003629",2018-11-19 00:00:00.000,2018-12-01 00:00:00.000,28,"Distributor","NZD","GUT930",74,5,12,1045.2,606.216,12542.400000000001,7274.5920000000006,5267.8080000000009
"SO - 000425",2018-11-23 00:00:00.000,2018-11-27 00:00:00.000,29,"Distributor","NZD","GUT930",19,6,7,3926.2000000000003,2120.148,27483.4,14841.036,12642.364000000001
"SO - 0004425",2018-11-23 00:00:00.000,2018-11-29 00:00:00.000,34,"Distributor","NZD","GUT930",5,9,5,904.5,470.34000000000003,4522.5,2351.7000000000003,2170.7999999999997
"SO - 0007225",2018-11-25 00:00:00.000,2018-12-13 00:00:00.000,14,"Distributor","NZD","GUT930",72,14,8,1695.1000000000001,830.599,13560.800000000001,6644.792,6916.0080000000007
"SO - 0004204",2018-11-26 00:00:00.000,2018-11-30 00:00:00.000,12,"Distributor","NZD","GUT930",13,1,12,1065.3,862.893,12783.599999999999,10354.716,2428.8839999999982
"SO - 000825",2018-11-28 00:00:00.000,2018-12-03 00:00:00.000,50,"Distributor","NZD","GUT930",8,11,12,2378.5,1546.025,28542,18552.300000000003,9989.6999999999971
"SO - 0004962",2018-11-28 00:00:00.000,2018-12-11 00:00:00.000,44,"Distributor","NZD","GUT930",64,4,8,5996.5,5097.025,47972,40776.2,7195.8000000000029
"SO - 0001019",2018-11-30 00:00:00.000,2018-12-07 00:00:00.000,14,"Distributor","NZD","GUT930",33,9,5,1849.2,1331.424,9246,6657.12,2588.88
"SO - 000894",2018-12-01 00:00:00.000,2018-12-08 00:00:00.000,23,"Distributor","NZD","GUT930",65,6,10,750.4,600.32,7504,6003.2000000000007,1500.7999999999993
"SO - 0005890",2018-12-04 00:00:00.000,2018-12-15 00:00:00.000,31,"Distributor","NZD","GUT930",35,8,7,2003.3,901.485,14023.1,6310.395,7712.705
"SO - 0007717",2018-12-04 00:00:00.000,2018-12-09 00:00:00.000,1,"Distributor","NZD","GUT930",18,7,9,1005,633.15,9045,5698.3499999999995,3346.6500000000005
"SO - 0002887",2018-12-06 00:00:00.000,2018-12-10 00:00:00.000,34,"Distributor","NZD","GUT930",76,10,6,167.5,68.675,1005,412.04999999999995,592.95
"SO - 0004037",2018-12-07 00:00:00.000,2018-12-16 00:00:00.000,48,"Distributor","NZD","GUT930",67,2,11,2298.1,1034.145,25279.1,11375.595,13903.505
"SO - 0002731",2018-12-08 00:00:00.000,2018-12-20 00:00:00.000,20,"Distributor","NZD","GUT930",18,2,12,1996.6000000000001,1317.756,23959.2,15813.072,8146.1280000000006
"SO - 0007578",2018-12-09 00:00:00.000,2018-12-18 00:00:00.000,18,"Distributor","NZD","GUT930",51,9,9,951.4,704.036,8562.6,6336.324,2226.2760000000007
"SO - 0008000",2018-12-09 00:00:00.000,2018-12-21 00:00:00.000,13,"Distributor","NZD","GUT930",98,4,11,2546,1731.2800000000002,28006,19044.08,8961.9199999999983
"SO - 000578",2018-12-10 00:00:00.000,2018-12-14 00:00:00.000,16,"Distributor","NZD","GUT930",100,2,9,1862.6000000000001,1247.9420000000002,16763.4,11231.478000000003,5531.9219999999987
"SO - 0007150",2018-12-10 00:00:00.000,2018-12-15 00:00:00.000,4,"Distributor","NZD","GUT930",18,4,9,864.30000000000007,406.221,7778.7000000000007,3655.989,4122.7110000000011
"SO - 0007363",2018-12-11 00:00:00.000,2018-12-21 00:00:00.000,49,"Distributor","NZD","GUT930",29,5,11,1929.6000000000001,868.32,21225.600000000002,9551.52,11674.080000000002
"SO - 0001147",2018-12-12 00:00:00.000,2018-12-21 00:00:00.000,42,"Distributor","NZD","GUT930",39,1,9,978.2,753.214,8803.8000000000011,6778.926,2024.8740000000007
"SO - 0003289",2018-12-12 00:00:00.000,2018-12-30 00:00:00.000,16,"Distributor","NZD","GUT930",34,1,10,1916.2,1475.4740000000002,19162,14754.740000000002,4407.2599999999984
"SO - 0001501",2018-12-13 00:00:00.000,2018-12-19 00:00:00.000,23,"Distributor","NZD","GUT930",61,1,7,1125.6000000000001,697.87200000000007,7879.2000000000007,4885.104,2994.0960000000005
"SO - 0001403",2018-12-16 00:00:00.000,2018-12-28 00:00:00.000,50,"Distributor","NZD","GUT930",31,5,10,1005,452.25,10050,4522.5,5527.5
"SO - 0005945",2018-12-16 00:00:00.000,2018-12-19 00:00:00.000,40,"Distributor","NZD","GUT930",31,12,5,5956.3,3216.4020000000005,29781.5,16082.010000000002,13699.489999999998
"SO - 0001646",2018-12-17 00:00:00.000,2019-01-04 00:00:00.000,44,"Distributor","NZD","GUT930",97,9,11,227.8,186.796,2505.8,2054.756,451.04400000000032
"SO - 0003831",2018-12-17 00:00:00.000,2018-12-28 00:00:00.000,4,"Distributor","NZD","GUT930",50,5,7,3886,2409.32,27202,16865.24,10336.759999999998
"SO - 0001742",2018-12-19 00:00:00.000,2018-12-29 00:00:00.000,20,"Distributor","NZD","GUT930",22,8,10,991.6,545.38000000000011,9916,5453.8000000000011,4462.1999999999989
"SO - 0006729",2018-12-19 00:00:00.000,2018-12-29 00:00:00.000,36,"Distributor","NZD","GUT930",28,1,12,3504.1,1401.64,42049.2,16819.68,25229.519999999997
"SO - 0003992",2018-12-21 00:00:00.000,2019-01-05 00:00:00.000,15,"Distributor","NZD","GUT930",72,7,12,2425.4,1722.0339999999999,29104.800000000003,20664.408,8440.3920000000035
"SO - 0008028",2018-12-21 00:00:00.000,2019-01-05 00:00:00.000,40,"Distributor","NZD","GUT930",67,1,9,984.9,728.826,8864.1,6559.434,2304.666
"SO - 0001800",2018-12-25 00:00:00.000,2019-01-11 00:00:00.000,9,"Distributor","NZD","GUT930",90,1,6,180.9,130.248,1085.4,781.48799999999994,303.91200000000015
"SO - 0002305",2018-12-26 00:00:00.000,2019-01-12 00:00:00.000,39,"Distributor","NZD","GUT930",62,2,11,2633.1,1737.846,28964.1,19116.306,9847.7939999999981
"SO - 0002928",2018-12-27 00:00:00.000,2019-01-01 00:00:00.000,24,"Distributor","NZD","GUT930",45,1,9,254.6,190.95,2291.4,1718.55,572.85000000000014
"SO - 0003301",2018-12-27 00:00:00.000,2018-12-30 00:00:00.000,11,"Distributor","NZD","GUT930",22,7,9,1742,1027.78,15678,9250.02,6427.98
"SO - 0004667",2018-12-27 00:00:00.000,2019-01-13 00:00:00.000,26,"Distributor","NZD","GUT930",33,7,12,3865.9,1855.632,46390.8,22267.584000000003,24123.216
"SO - 000866",2018-12-31 00:00:00.000,2019-01-07 00:00:00.000,21,"Distributor","NZD","GUT930",18,9,12,1112.2,578.344,13346.400000000001,6940.1280000000006,6406.2720000000008
"SO - 0006130",2018-12-31 00:00:00.000,2019-01-16 00:00:00.000,6,"Distributor","NZD","GUT930",4,2,9,3745.3,2808.9750000000004,33707.700000000004,25280.775,8426.9250000000029
"SO - 0004442",2019-01-01 00:00:00.000,2019-01-07 00:00:00.000,50,"Distributor","NZD","GUT930",92,11,7,1132.3,758.641,7926.0999999999995,5310.487,2615.6129999999994
"SO - 0004814",2019-01-01 00:00:00.000,2019-01-05 00:00:00.000,12,"Distributor","NZD","GUT930",90,13,8,1078.7,809.02500000000009,8629.6,6472.2000000000007,2157.3999999999996
"SO - 0002920",2019-01-02 00:00:00.000,2019-01-15 00:00:00.000,20,"Distributor","NZD","GUT930",94,5,5,1058.6000000000001,550.47200000000009,5293.0000000000009,2752.3600000000006,2540.6400000000003
"SO - 0005646",2019-01-02 00:00:00.000,2019-01-11 00:00:00.000,46,"Distributor","NZD","GUT930",86,11,7,1085.4,445.014,7597.8000000000011,3115.098,4482.7020000000011
"SO - 0003880",2019-01-03 00:00:00.000,2019-01-13 00:00:00.000,48,"Distributor","NZD","GUT930",40,5,9,207.70000000000002,157.852,1869.3000000000002,1420.6680000000001,448.63200000000006
"SO - 0005702",2019-01-04 00:00:00.000,2019-01-10 00:00:00.000,9,"Distributor","NZD","GUT930",84,13,6,3912.8,1839.016,23476.800000000003,11034.096000000001,12442.704000000002
"SO - 0004836",2019-01-06 00:00:00.000,2019-01-14 00:00:00.000,18,"Distributor","NZD","GUT930",50,2,8,1701.8,1055.116,13614.4,8440.928,5173.472
"SO - 0008071",2019-01-09 00:00:00.000,2019-01-12 00:00:00.000,13,"Distributor","NZD","GUT930",23,2,8,5427,2496.42,43416,19971.36,23444.64
"SO - 0004561",2019-01-11 00:00:00.000,2019-01-26 00:00:00.000,27,"Distributor","NZD","GUT930",30,7,11,5313.1,2550.288,58444.100000000006,28053.168,30390.932000000004
"SO - 0005447",2019-01-11 00:00:00.000,2019-01-27 00:00:00.000,47,"Distributor","NZD","GUT930",60,7,12,1969.8,1615.2359999999999,23637.6,19382.832,4254.768
"SO - 0003865",2019-01-12 00:00:00.000,2019-01-26 00:00:00.000,43,"Distributor","NZD","GUT930",75,1,10,911.2,728.96,9112,7289.6,1822.3999999999996
"SO - 0007646",2019-01-13 00:00:00.000,2019-01-27 00:00:00.000,12,"Distributor","NZD","GUT930",34,4,7,3886,2914.5,27202,20401.5,6800.5
"SO - 000393",2019-01-16 00:00:00.000,2019-01-20 00:00:00.000,26,"Distributor","NZD","GUT930",41,13,10,1118.9,895.12000000000012,11189,8951.2,2237.7999999999993
"SO - 0001397",2019-01-16 00:00:00.000,2019-02-01 00:00:00.000,35,"Distributor","NZD","GUT930",24,2,5,2338.3,1800.4910000000002,11691.5,9002.4550000000017,2689.0449999999983
"SO - 0004362",2019-01-16 00:00:00.000,2019-01-29 00:00:00.000,39,"Distributor","NZD","GUT930",13,7,12,1112.2,734.052,13346.400000000001,8808.624,4537.7760000000017
"SO - 0005343",2019-01-16 00:00:00.000,2019-02-01 00:00:00.000,12,"Distributor","NZD","GUT930",77,8,5,2619.7000000000003,1152.6680000000001,13098.500000000002,5763.34,7335.1600000000017
"SO - 000682",2019-01-17 00:00:00.000,2019-01-25 00:00:00.000,18,"Distributor","NZD","GUT930",27,14,8,2405.3,1683.71,19242.4,13469.68,5772.7200000000012
"SO - 000860",2019-01-17 00:00:00.000,2019-01-21 00:00:00.000,29,"Distributor","NZD","GUT930",18,4,10,3189.2000000000003,2264.332,31892.000000000004,22643.32,9248.6800000000039
"SO - 0007354",2019-01-17 00:00:00.000,2019-01-27 00:00:00.000,37,"Distributor","NZD","GUT930",70,2,6,3845.8,2845.8920000000003,23074.800000000003,17075.352000000003,5999.448
"SO - 000560",2019-01-18 00:00:00.000,2019-02-05 00:00:00.000,21,"Distributor","NZD","GUT930",21,9,8,2425.4,1042.922,19403.2,8343.376,11059.824
"SO - 0004961",2019-01-18 00:00:00.000,2019-02-05 00:00:00.000,2,"Distributor","NZD","GUT930",62,6,10,6070.2,4127.736,60702,41277.36,19424.64
"SO - 0003515",2019-01-22 00:00:00.000,2019-02-04 00:00:00.000,30,"Distributor","NZD","GUT930",77,3,8,1956.4,782.56000000000006,15651.2,6260.4800000000005,9390.7200000000012
"SO - 0001627",2017-01-06 00:00:00.000,2017-01-09 00:00:00.000,47,"Distributor","NZD","AXW291",58,14,10,3959.7000000000003,3009.3720000000003,39597,30093.72,9503.2799999999988
"SO - 0003170",2017-01-14 00:00:00.000,2017-02-01 00:00:00.000,23,"Distributor","NZD","AXW291",55,14,11,1969.8,827.31599999999992,21667.8,9100.4759999999987,12567.324
"SO - 0005016",2017-01-16 00:00:00.000,2017-01-20 00:00:00.000,50,"Distributor","NZD","AXW291",48,13,10,2619.7000000000003,1938.5780000000002,26197.000000000004,19385.780000000002,6811.2200000000012
"SO - 0001373",2017-01-18 00:00:00.000,2017-01-29 00:00:00.000,17,"Distributor","NZD","AXW291",60,5,12,2532.6,1848.798,30391.199999999997,22185.576,8205.6239999999962
"SO - 0007123",2017-01-21 00:00:00.000,2017-01-30 00:00:00.000,38,"Distributor","NZD","AXW291",93,9,11,1005,532.65,11055,5859.15,5195.85
"SO - 0003376",2017-01-24 00:00:00.000,2017-01-31 00:00:00.000,41,"Distributor","NZD","AXW291",30,5,9,187.6,138.82399999999998,1688.3999999999999,1249.416,438.98399999999992
"SO - 0006474",2017-01-31 00:00:00.000,2017-02-14 00:00:00.000,28,"Distributor","NZD","AXW291",50,5,7,6217.6,4974.0800000000008,43523.200000000004,34818.560000000005,8704.64
"SO - 0003708",2017-02-01 00:00:00.000,2017-02-19 00:00:00.000,14,"Distributor","NZD","AXW291",55,5,6,187.6,146.328,1125.6,877.96800000000007,247.63199999999983
"SO - 0006403",2017-02-02 00:00:00.000,2017-02-11 00:00:00.000,6,"Distributor","NZD","AXW291",53,10,5,1333.3,986.64199999999994,6666.5,4933.21,1733.29
"SO - 0007986",2017-02-02 00:00:00.000,2017-02-16 00:00:00.000,18,"Distributor","NZD","AXW291",88,9,7,1132.3,532.18099999999993,7926.0999999999995,3725.2669999999994,4200.8330000000005
"SO - 0004408",2017-02-03 00:00:00.000,2017-02-15 00:00:00.000,44,"Distributor","NZD","AXW291",79,5,7,1145.7,836.361,8019.9000000000015,5854.527,2165.3730000000005
"SO - 0007882",2017-02-04 00:00:00.000,2017-02-14 00:00:00.000,43,"Distributor","NZD","AXW291",47,5,6,931.30000000000007,791.605,5587.8,4749.63,838.17000000000007
"SO - 0002749",2017-02-08 00:00:00.000,2017-02-18 00:00:00.000,37,"Distributor","NZD","AXW291",44,13,10,1098.8,879.04,10988,8790.4,2197.6000000000004
"SO - 0006636",2017-02-13 00:00:00.000,2017-02-24 00:00:00.000,40,"Distributor","NZD","AXW291",76,5,7,241.20000000000002,178.488,1688.4,1249.416,438.98400000000015
"SO - 0007447",2017-02-13 00:00:00.000,2017-02-17 00:00:00.000,15,"Distributor","NZD","AXW291",71,9,9,5071.9000000000015,4311.1150000000007,45647.100000000006,38800.035,6847.0650000000023
"SO - 0002732",2017-02-14 00:00:00.000,2017-02-22 00:00:00.000,23,"Distributor","NZD","AXW291",50,13,8,2546,2062.26,20368,16498.08,3869.9199999999983
"SO - 0004490",2017-02-14 00:00:00.000,2017-02-27 00:00:00.000,18,"Distributor","NZD","AXW291",23,13,5,3095.4,2631.09,15477,13155.45,2321.5499999999993
"SO - 0007985",2017-02-15 00:00:00.000,2017-02-24 00:00:00.000,7,"Distributor","NZD","AXW291",88,9,8,884.4,512.952,7075.2,4103.616,2971.584
"SO - 0004350",2017-02-17 00:00:00.000,2017-03-02 00:00:00.000,41,"Distributor","NZD","AXW291",65,13,6,1125.6000000000001,607.82400000000007,6753.6,3646.9440000000004,3106.656
"SO - 0008012",2017-02-22 00:00:00.000,2017-03-02 00:00:00.000,38,"Distributor","NZD","AXW291",25,6,8,1802.3,1117.426,14418.4,8939.408,5478.992
"SO - 0007902",2017-02-23 00:00:00.000,2017-03-11 00:00:00.000,37,"Distributor","NZD","AXW291",25,5,10,5299.7,3444.805,52997,34448.049999999996,18548.950000000004
"SO - 0002341",2017-02-24 00:00:00.000,2017-03-02 00:00:00.000,38,"Distributor","NZD","AXW291",44,9,8,227.8,104.78800000000001,1822.4,838.30400000000009,984.096
"SO - 0006479",2017-02-24 00:00:00.000,2017-03-06 00:00:00.000,48,"Distributor","NZD","AXW291",53,13,11,268,112.56,2948,1238.16,1709.84
"SO - 0001160",2017-02-26 00:00:00.000,2017-03-09 00:00:00.000,41,"Distributor","NZD","AXW291",24,3,5,3819,3055.2000000000003,19095,15276.000000000002,3818.9999999999982
"SO - 0003314",2017-03-06 00:00:00.000,2017-03-09 00:00:00.000,31,"Distributor","NZD","AXW291",31,9,12,4006.6,2123.498,48079.2,25481.976000000002,22597.223999999995
"SO - 000394",2017-03-11 00:00:00.000,2017-03-28 00:00:00.000,17,"Distributor","NZD","AXW291",51,13,6,1139,933.9799999999999,6834,5603.8799999999992,1230.1200000000008
"SO - 0004978",2017-03-12 00:00:00.000,2017-03-28 00:00:00.000,6,"Distributor","NZD","AXW291",95,3,10,1011.7,667.72200000000009,10117,6677.2200000000012,3439.7799999999988
